 "no_object" , "nmvw_actor" ,
 "75" , "https://hdl.handle.net/20.500.11840/pi1000" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1002" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1003" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1004" ,
 "23" , "https://hdl.handle.net/20.500.11840/pi1006" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1007" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1008" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1012" ,
 "211" , "https://hdl.handle.net/20.500.11840/pi1014" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1015" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1016" ,
 "25" , "https://hdl.handle.net/20.500.11840/pi1019" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1020" ,
 "32" , "https://hdl.handle.net/20.500.11840/pi1022" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1025" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1026" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1028" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1029" ,
 "12" , "https://hdl.handle.net/20.500.11840/pi103" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1031" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1032" ,
 "24" , "https://hdl.handle.net/20.500.11840/pi1034" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1035" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1036" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1037" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1040" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1041" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1043" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1045" ,
 "504" , "https://hdl.handle.net/20.500.11840/pi1049" ,
 "35" , "https://hdl.handle.net/20.500.11840/pi105" ,
 "22" , "https://hdl.handle.net/20.500.11840/pi1050" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1051" ,
 "5996" , "https://hdl.handle.net/20.500.11840/pi1054" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1055" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1056" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1057" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1058" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi106" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1063" ,
 "165" , "https://hdl.handle.net/20.500.11840/pi1064" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1065" ,
 "24" , "https://hdl.handle.net/20.500.11840/pi1067" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1068" ,
 "39" , "https://hdl.handle.net/20.500.11840/pi1069" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1072" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1075" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1076" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1079" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1081" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1084" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1085" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1087" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1088" ,
 "654" , "https://hdl.handle.net/20.500.11840/pi109" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1090" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1092" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1093" ,
 "17" , "https://hdl.handle.net/20.500.11840/pi1094" ,
 "107" , "https://hdl.handle.net/20.500.11840/pi1095" ,
 "52" , "https://hdl.handle.net/20.500.11840/pi1096" ,
 "45" , "https://hdl.handle.net/20.500.11840/pi1097" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1098" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi11" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi110" ,
 "20" , "https://hdl.handle.net/20.500.11840/pi1100" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1102" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1103" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1105" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1108" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1109" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi111" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1111" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1113" ,
 "29" , "https://hdl.handle.net/20.500.11840/pi1115" ,
 "39" , "https://hdl.handle.net/20.500.11840/pi1116" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi112" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1123" ,
 "70" , "https://hdl.handle.net/20.500.11840/pi1125" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1127" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1128" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1129" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi113" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1130" ,
 "30" , "https://hdl.handle.net/20.500.11840/pi1131" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1134" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1136" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1137" ,
 "29" , "https://hdl.handle.net/20.500.11840/pi1138" ,
 "6" , "https://hdl.handle.net/20.500.11840/pi1139" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1140" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1144" ,
 "106" , "https://hdl.handle.net/20.500.11840/pi1145" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1146" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1148" ,
 "39" , "https://hdl.handle.net/20.500.11840/pi1153" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1154" ,
 "9" , "https://hdl.handle.net/20.500.11840/pi1156" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1157" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1159" ,
